k,tcav_deletion,tcav_insertion,random_deletion,random_insertion,noise_deletion,noise_insertion
0,100.0,91.53259,100.0,91.53259,100.0,99.97778
1,99.31862,92.76533,99.46097,92.5864,100.00129,99.976585
2,98.93599,93.074524,98.95796,93.531265,99.99689,99.98099
3,98.40684,93.70079,98.393524,94.41225,99.99129,99.986435
4,98.12785,94.10667,97.85859,95.14744,99.990654,99.98695
5,97.8489,94.65259,97.30136,95.83532,99.99168,99.985916
6,97.58509,95.082756,96.567375,96.64898,99.99127,99.986435
7,97.21932,95.62229,95.89866,97.2233,99.98727,99.990555
8,96.79727,96.14205,95.17633,97.851204,99.98393,99.993675
9,96.12664,96.888756,94.37941,98.40309,99.9805,99.99735
10,95.08609,97.71961,93.4569,99.029526,99.98163,99.99642
11,93.5681,98.865234,92.46527,99.60541,99.97842,99.99957
12,91.53259,100.0,91.53259,100.0,99.97778,100.0
